Reference Number,Topic Match Score,Title,Year,Date,Authors,Abstract,Journal,Citation Count,Citation Velocity,DOI,Link,External IDs,Is Open Access,Open Access Link,Semantic Scholar ID,Relevance Summary
"11","6.7","Reinforcement Learning-assisted Evolutionary Algorithm: A Survey and Research Opportunities","2023","2023-08-25","Yanjie Song, Yutong Wu, Yangyang Guo, Ran Yan, Ponnuthurai Nagaratnam, Suganthan, Yue Zhang, W. Pedrycz, Y. Chen, Swagatam Das, R. Mallipeddi, Solomon Ajani","Evolutionary algorithms (EA), a class of stochastic search methods based on the principles of natural evolution, have received widespread acclaim for their exceptional performance in various real-world optimization problems. While researchers worldwide have proposed a wide variety of EAs, certain limitations remain, such as slow convergence speed and poor generalization capabilities. Consequently, numerous scholars actively explore improvements to algorithmic structures, operators, search patterns, etc., to enhance their optimization performance. Reinforcement learning (RL) integrated as a component in the EA framework has demonstrated superior performance in recent years. This paper presents a comprehensive survey on integrating reinforcement learning into the evolutionary algorithm, referred to as reinforcement learning-assisted evolutionary algorithm (RL-EA). We begin with the conceptual outlines of reinforcement learning and the evolutionary algorithm. We then provide a taxonomy of RL-EA. Subsequently, we discuss the RL-EA integration method, the RL-assisted strategy adopted by RL-EA, and its applications according to the existing literature. The RL-assisted procedure is divided according to the implemented functions including solution generation, learnable objective function, algorithm/operator/sub-population selection, parameter adaptation, and other strategies. Additionally, different attribute settings of RL in RL-EA are discussed. In the applications of RL-EA section, we also demonstrate the excellent performance of RL-EA on several benchmarks and a range of public datasets to facilitate a quick comparative study. Finally, we analyze potential directions for future research.","Swarm Evol. Comput.","42","16.7","10.48550/arXiv.2308.13420","https://doi.org/10.48550/arXiv.2308.13420","","true","{'url': 'https://arxiv.org/pdf/2308.13420', 'status': 'GOLD'}","8eec27793661664587da6f9adf5ca4b17cb513d0",""
"12","5.8","Evolutionary Reinforcement Learning: A Systematic Review and Future Directions","2025","2025-03-02","Y. Lin, Fan Lin, Guorong Cai, Hong Chen, Linxin Zou, Yunxuan Liu, Pengcheng Wu","In response to the limitations of reinforcement learning and Evolutionary Algorithms (EAs) in complex problem-solving, Evolutionary Reinforcement Learning (EvoRL) has emerged as a synergistic solution. This systematic review aims to provide a comprehensive analysis of EvoRL, examining the symbiotic relationship between EAs and reinforcement learning algorithms and identifying critical gaps in relevant application tasks. The review begins by outlining the technological foundations of EvoRL, detailing the complementary relationship between EAs and reinforcement learning algorithms to address the limitations of reinforcement learning, such as parameter sensitivity, sparse rewards, and its susceptibility to local optima. We then delve into the challenges faced by both reinforcement learning and EvoRL, exploring the utility and limitations of EAs in EvoRL. EvoRL itself is constrained by the sampling efficiency and algorithmic complexity, which affect its application in areas like robotic control and large-scale industrial settings. Furthermore, we address significant open issues in the field, such as adversarial robustness, fairness, and ethical considerations. Finally, we propose future directions for EvoRL, emphasizing research avenues that strive to enhance self-adaptation, self-improvement, scalability, interpretability, and so on. To quantify the current state, we analyzed about 100 EvoRL studies, categorizing them based on algorithms, performance metrics, and benchmark tasks. Serving as a comprehensive resource for researchers and practitioners, this systematic review provides insights into the current state of EvoRL and offers a guide for advancing its capabilities in the ever-evolving landscape of artificial intelligence.","Mathematics","0","0","10.3390/math13050833","https://doi.org/10.3390/math13050833","","true","{'url': 'https://doi.org/10.3390/math13050833', 'status': 'GOLD'}","c6b2296dc9403790ba211ab639804cadf62ae38f",""
"13","5.2","Ensemble Reinforcement Learning: A Survey","2023","2023-03-05","Yanjie Song, P. Suganthan, W. Pedrycz, Junwei Ou, Yongming He, Y. Chen","Reinforcement Learning (RL) has emerged as a highly effective technique for addressing various scientific and applied problems. Despite its success, certain complex tasks remain challenging to be addressed solely with a single model and algorithm. In response, ensemble reinforcement learning (ERL), a promising approach that combines the benefits of both RL and ensemble learning (EL), has gained widespread popularity. ERL leverages multiple models or training algorithms to comprehensively explore the problem space and possesses strong generalization capabilities. In this study, we present a comprehensive survey on ERL to provide readers with an overview of recent advances and challenges in the field. Firstly, we provide an introduction to the background and motivation for ERL. Secondly, we conduct a detailed analysis of strategies such as model selection and combination that have been successfully implemented in ERL. Subsequently, we explore the application of ERL, summarize the datasets, and analyze the algorithms employed. Finally, we outline several open questions and discuss future research directions of ERL. By offering guidance for future scientific research and engineering applications, this survey significantly contributes to the advancement of ERL.","Appl. Soft Comput.","40","13.4","10.48550/arXiv.2303.02618","https://doi.org/10.48550/arXiv.2303.02618","","true","{'url': 'http://arxiv.org/pdf/2303.02618', 'status': 'GOLD'}","88eb6cf17a61534462757b9d1826c05da9eaf635",""
"14","4.5","Evolutionary game theory combined with reinforcement learning synthesis - A comprehensive survey","2024","2024-05-25","Zeyuan Yan, Hui Zhao, Li Li, Stéphane Galland","Within the realm of modern intelligent science, the fields of evolutionary game theory (EGT) and reinforcement learning (RL) have exhibited an inherently intertwined relationship since their inception. This symbiotic association has been further accentuated, especially in light of the significant advances in artificial intelligence technologies witnessed in recent years. As a result, their synergistic interactions have grown increasingly profound, catalyzing an explosive surge in interdisciplinary research endeavors. To align with this prevailing trend, the objective of this survey is to provide a comprehensive assessment of the interconnections, distinctions, and recent advances in the combination of EGT with RL. We approach this from three perspectives: Q-learning, the Bush-Mosteller (BM) model, and deep reinforcement learning (DRL). Subsequently, the most recent advances in research within these three dimensions are categorized based on distinct subject areas. Ultimately, this nascent cross-disciplinary research domain is comprehensively summarized, and its future prospects are outlined.","2024 36th Chinese Control and Decision Conference (CCDC)","1","0.6","10.1109/CCDC62350.2024.10587977","https://doi.org/10.1109/CCDC62350.2024.10587977","","false","","85f5f3b46482e0b7536fb3e4456ddcf1a264023f",""
"15","3.9","Deep Reinforcement Learning Versus Evolution Strategies: A Comparative Survey","2021","2021-09-28","Amjad Yousef Majid, Serge Saaybi, Tomas van Rietbergen, Vincent François-Lavet, R. V. Prasad, Chris Verhoeven","Deep reinforcement learning (DRL) and evolution strategies (ESs) have surpassed human-level control in many sequential decision-making problems, yet many open challenges still exist. To get insights into the strengths and weaknesses of DRL versus ESs, an analysis of their respective capabilities and limitations is provided. After presenting their fundamental concepts and algorithms, a comparison is provided on key aspects, such as scalability, exploration, adaptation to dynamic environments, and multiagent learning. Current research challenges are also discussed, including sample efficiency, exploration versus exploitation, dealing with sparse rewards, and learning to plan. Then, the benefits of hybrid algorithms that combine DRL and ESs are highlighted.","IEEE Transactions on Neural Networks and Learning Systems","57","12.9","10.1109/TNNLS.2023.3264540","https://doi.org/10.1109/TNNLS.2023.3264540","","true","{'url': 'https://ieeexplore.ieee.org/ielx7/5962385/6104215/10114063.pdf', 'status': 'GOLD'}","ac89d4156c66f792cacbd29600d4cf0cfead71f3",""
"16","3.3","Taxonomy of machine learning paradigms: A data‐centric perspective","2022","2022-06-03","F. Emmert-Streib, M. Dehmer","Machine learning is a field composed of various pillars. Traditionally, supervised learning (SL), unsupervised learning (UL), and reinforcement learning (RL) are the dominating learning paradigms that inspired the field since the 1950s. Based on these, thousands of different methods have been developed during the last seven decades used in nearly all application domains. However, recently, other learning paradigms are gaining momentum which complement and extend the above learning paradigms significantly. These are multi‐label learning (MLL), semi‐supervised learning (SSL), one‐class classification (OCC), positive‐unlabeled learning (PUL), transfer learning (TL), multi‐task learning (MTL), and one‐shot learning (OSL). The purpose of this article is a systematic discussion of these modern learning paradigms and their connection to the traditional ones. We discuss each of the learning paradigms formally by defining key constituents and paying particular attention to the data requirements for allowing an easy connection to applications. That means, we assume a data‐driven perspective. This perspective will also allow a systematic identification of relations between the individual learning paradigms in the form of a learning‐paradigm graph (LP‐graph). Overall, the LP‐graph establishes a taxonomy among 10 different learning paradigms.","Wiley Interdisciplinary Reviews: Data Mining and Knowledge Discovery","33","8.8","10.1002/widm.1470","https://doi.org/10.1002/widm.1470","","true","{'url': 'https://onlinelibrary.wiley.com/doi/pdfdirect/10.1002/widm.1470', 'status': 'GOLD'}","f695e38bdef6dbd2bdcf80faa6359c0e7918d729",""
"17","3.0","Deep Reinforcement Learning: A Survey","2022","2022-09-28","Xu Wang, Senyang Wang, Xingxing Liang, Dawei Zhao, Jincai Huang, Xin Xu, Bin Dai, Q. Miao","Deep reinforcement learning (DRL) integrates the feature representation ability of deep learning with the decision-making ability of reinforcement learning so that it can achieve powerful end-to-end learning control capabilities. In the past decade, DRL has made substantial advances in many tasks that require perceiving high-dimensional input and making optimal or near-optimal decisions. However, there are still many challenging problems in the theory and applications of DRL, especially in learning control tasks with limited samples, sparse rewards, and multiple agents. Researchers have proposed various solutions and new theories to solve these problems and promote the development of DRL. In addition, deep learning has stimulated the further development of many subfields of reinforcement learning, such as hierarchical reinforcement learning (HRL), multiagent reinforcement learning, and imitation learning. This article gives a comprehensive overview of the fundamental theories, key algorithms, and primary research domains of DRL. In addition to value-based and policy-based DRL algorithms, the advances in maximum entropy-based DRL are summarized. The future research topics of DRL are also analyzed and discussed.","IEEE Transactions on Neural Networks and Learning Systems","73","21.3","10.1109/TNNLS.2022.3207346","https://doi.org/10.1109/TNNLS.2022.3207346","","false","","15b1151a6c95e9ec00f419c90c712b13fd021e1c",""
"18","2.7","Evolutionary game theory and multi-agent reinforcement learning","2005","2005-03-01","K. Tuyls, A. Nowé","","The Knowledge Engineering Review","124","5.9","10.1017/S026988890500041X","https://doi.org/10.1017/S026988890500041X","","false","","bb9fbee22eae2b47bbf304804a6ac07def1aecdb",""
"19","2.3","Model-based Multi-agent Reinforcement Learning: Recent Progress and Prospects","2022","2022-03-20","Xihuai Wang, Zhicheng Zhang, Weinan Zhang","Significant advances have recently been achieved in Multi-Agent Reinforcement Learning (MARL) which tackles sequential decision-making problems involving multiple participants. However, MARL requires a tremendous number of samples for effective training. On the other hand, model-based methods have been shown to achieve provable advantages of sample efficiency. However, the attempts of model-based methods to MARL have just started very recently. This paper presents a review of the existing research on model-based MARL, including theoretical analyses, algorithms, and applications, and analyzes the advantages and potential of model-based MARL. Specifically, we provide a detailed taxonomy of the algorithms and point out the pros and cons for each algorithm according to the challenges inherent to multi-agent scenarios. We also outline promising directions for future development of this field.","ArXiv","25","6.3","10.48550/arXiv.2203.10603","https://doi.org/10.48550/arXiv.2203.10603","","true","{'url': 'http://arxiv.org/pdf/2203.10603', 'status': 'GOLD'}","24ed28d44c33de145b05217814d678e3486acbc5",""
"20","2.0","The Evolution of Reinforcement Learning *","2019","2019-12-01","Dean Frederick Hougen, Syed Naveed Hussain Shah","In both the natural and artificial realms, evolution and reinforcement learning are parallel adaptive processes that work on different scales but with similar feedback mechanisms. This makes combined and coordinated study of these phenomena synergistic. In the natural world, evolution is antecedent to all forms of learning but can, nonetheless, be influenced by them. In artificial intelligence, evolutionary computation and reinforcement learning were initially developed independently and in parallel but numerous studies of their interactions exist. As reinforcement learning gains prominence in machine learning, and as it is integrated into more complex learning systems such as deep neural networks, greater understanding of how it has and could be evolved becomes increasingly relevant. This survey covers major trends in the evolution of reinforcement learning and suggests important directions for future research.","2019 IEEE Symposium Series on Computational Intelligence (SSCI)","7","1.1","10.1109/SSCI44817.2019.9003146","https://doi.org/10.1109/SSCI44817.2019.9003146","","false","","7306f9a6bbc961becdb9b106fbb8e9297742b8de",""
"21","1.8","Neuro-evolutionary Frameworks for Generalized Learning Agents","2020","2020-02-04","T. G. Karimpanal","The recent successes of deep learning and deep reinforcement learning have firmly established their statuses as state-of-the-art artificial learning techniques. However, longstanding drawbacks of these approaches, such as their poor sample efficiencies and limited generalization capabilities point to a need for re-thinking the way such systems are designed and deployed. In this paper, we emphasize how the use of these learning systems, in conjunction with a specific variation of evolutionary algorithms could lead to the emergence of unique characteristics such as the automated acquisition of a variety of desirable behaviors and useful sets of behavior priors. This could pave the way for learning to occur in a generalized and continual manner, with minimal interactions with the environment. We discuss the anticipated improvements from such neuro-evolutionary frameworks, along with the associated challenges, as well as its potential for application to a number of research areas.","ArXiv","1","0.2","","https://arxiv.org/abs/2002.01088","","true","{'url': 'https://arxiv.org/pdf/2002.01088.pdf', 'status': 'GOLD'}","83795a7b9621e7efd50e5e182ffec71e475710ac",""
"22","1.6","Cooperative and competitive multi-agent deep reinforcement learning","2022","2022-11-10","Ruizhi Chen","Multi-agent reinforcement learning (MARL) is an area of artificial intelligence that investigates joint behaviors of multiple individual agents and emergent patterns arising from their interactions with a common environment. Although MARL has a long history of decades, it begins to intensify recently due to the breakthrough of deep learning methods. In recent years Deep reinforcement learning (DRL) has achieved significant progress in single-agent reinforcement learning problems. Meanwhile, multi-agent systems (MASs) also benefit a lot from DRL methods. Latest advances occur in areas including video games, robot system, smart grids, etc. This article mostly focuses on recent papers on Multi-agent deep reinforcement learning (MADRL). First, some background knowledge of DRL and MARL is introduced. Both value-based and policy-based DRL algorithms are discussed. Second, representative works in both cooperative and competitive scenarios are reviewed respectively. Key ideas and main techniques in each work are discussed. Lastly, the paper draws a conclusion and some potential research directions are proposed.","","1","0.3","10.1117/12.2641830","https://doi.org/10.1117/12.2641830","","false","","de5ebf2ed4433eac7bceb16484d33f66e6b5b580",""
